q,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp,"Participation Invitation
We kindly invite you to share your experiences and opinions by completing this survey. The questionnaire will only take a few minutes of your time, and your insights will play a key role in enhancing the relevance and appeal of YNE’s free training programs.
Before we proceed, please confirm your consent to participate by answering the following question:
Do you consent to participate in this online survey?",Age,Gender,Sub City ,Education Level ,Employment Status,Do you have a Telegram account? ,Have you ever heard about The Youth Network Ethiopia (YNE)?,"If yes, how did you first learn about YNE? (Check all that apply)","If your answer to Question 2 is YES, and you were to participate in YNE training, which factors would be most important to you?",How do you access the internet? (Select all that apply),Which social media platforms have you used for online training purposes? (Select all that apply),How likely are you to join a free online training program offered by YNE?,What would be the most significant barriers for you to participate in free training sessions? (Select all that apply),Would you be interested in training sessions on the following topics? (Select all that apply),What motivates you to consider joining a free training program? (Select all that apply),What type of training delivery do you prefer? (Select all that apply),What is your preferred time for attending online training sessions?,How often would you prefer  free online training sessions to be offered?,Would you be more likely to attend free training sessions if they offered certification?,What topics or skills would you like free online training sessions to focus on?,How do you evaluate the overall questionnaire preparation?,What feedback and recommendations do you have for improving the questionnaire?,Area of Collection
1/23/2025 9:11:18,"Yes, I consent to participate.",21,Male,Kolfe Keranio,Tertiary Education (Undergraduate),Unemployed,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, YouTube",2,"Lack of awareness, Topics not aligning with personal/career interests","Digital skills, Entrepreneurship and business management, Personal development","To gain new skills, Networking opportunities, Certification upon completion","Reading materials (e.g., PDFs, guides), Interactive quizzes or activities, Blended (combination of online and in-person)",Evening (4 PM–8 PM),Bi-weekly,1,Skill training ,4,None,4 kilo
1/23/2025 9:24:24,"Yes, I consent to participate.",32,Male,Lemi Kura,Completed Degree,Full time,Yes,No,,,Mobile data,"Telegram, YouTube",3,Topics not aligning with personal/career interests,"Digital skills, Entrepreneurship and business management","To gain new skills, To improve career prospects","Reading materials (e.g., PDFs, guides), Podcasts or audio materials",Afternoon (12 PM–4 PM),Bi-weekly,3,Digital marketing ,4,Its ok,4 kilo
1/23/2025 9:25:30,"Yes, I consent to participate.",21,Male,Bole,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi",None of the above,5,Lack of time,Digital skills,Personal interest,Pre-recorded videos,Evening (4 PM–8 PM),Bi-weekly,5,"C++, phyton overall software related ",3,No thanks ,4 kilo
1/23/2025 9:33:24,"Yes, I consent to participate.",49,Male,Lemi Kura,Tertiary Education (Undergraduate),Full time,Yes,No,,,"Home Wi-Fi, Public Wi-Fi",Telegram,2,Lack of time,Entrepreneurship and business management,To gain new skills,"Reading materials (e.g., PDFs, guides)",Afternoon (12 PM–4 PM),Weekly,3,Leadership ,4,Good,4 kilo
1/23/2025 9:33:33,"Yes, I consent to participate.",19,Female,Gullele,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,Telegram,2,Lack of time,Entrepreneurship and business management,Networking opportunities,Podcasts or audio materials,Evening (4 PM–8 PM),Weekly,1,I like it to be more focused on skills ,4,It is very clear I don't have any recommendation,4 kilo
1/23/2025 9:43:58,"Yes, I consent to participate.",22,Female,Arada,Vocational/Technical Education,Student,Yes,No,,,Home Wi-Fi,Telegram,2,Poor internet access,Entrepreneurship and business management,To gain new skills,Pre-recorded videos,Evening (4 PM–8 PM),Weekly,2,Enterpreneurship ,5,It's good,4 kilo
1/23/2025 9:52:40,"Yes, I consent to participate.",24,Male,Bole,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi",YouTube,5,Topics not aligning with personal/career interests,Digital skills,"To gain new skills, To improve career prospects",Pre-recorded videos,Afternoon (12 PM–4 PM),3times a week,4,"Cyber security, mobile app development ",5,Good,4 kilo
1/23/2025 9:57:05,"Yes, I consent to participate.",19,Male,Yeka,Secondary Education (Grades 9–12),Student,Yes,No,,,"Mobile data, Home Wi-Fi, Public Wi-Fi",Telegram,4,Lack of time,"Entrepreneurship and business management, Personal development","To gain new skills, Networking opportunities","Pre-recorded videos, Podcasts or audio materials, Blended (combination of online and in-person)",Evening (4 PM–8 PM),Weekly,4,On personal development and enterpreneurship ,5,It was good ,4 kilo
1/23/2025 10:06:50,"Yes, I consent to participate.",21,Male,Gullele,Tertiary Education (Undergraduate),Student,Yes,No,,,Mobile data,None of the above,1,Poor internet access,Entrepreneurship and business management,"To gain new skills, Networking opportunities",Live sessions with Q&A,Afternoon (12 PM–4 PM),Bi-weekly,1,"Digital marketing, online job",5,Good,4 kilo
1/23/2025 10:13:08,"Yes, I consent to participate.",17,Female,Yeka,Secondary Education (Grades 9–12),Student,No,No,,,Home Wi-Fi,None of the above,1,"Lack of awareness, Topics not aligning with personal/career interests",Entrepreneurship and business management,"To gain new skills, To improve career prospects, Networking opportunities, Certification upon completion",Podcasts or audio materials,Evening (4 PM–8 PM),Bi-weekly,1,International relation and enterpreneurship ,4,Good,4 kilo
1/23/2025 10:26:48,"Yes, I consent to participate.",34,Female,Ledeta,Completed Degree,Full time,Yes,No,,,Mobile data,WhatsApp,1,Lack of time,Digital skills,To gain new skills,Live sessions with Q&A,Evening (4 PM–8 PM),Bi-weekly,3,Technology ,4,Nice keep it up ,4 kilo
1/23/2025 10:27:06,"Yes, I consent to participate.",28,Female,Lemi Kura,Secondary Education (Grades 9–12),Full time,Yes,No,,,"Mobile data, Home Wi-Fi",Telegram,1,"Lack of awareness, Topics not aligning with personal/career interests",Entrepreneurship and business management,"To gain new skills, To improve career prospects",Pre-recorded videos,Morning (8 AM–12 PM),Weekly,2,Cultural work,4,Good,4 kilo
1/23/2025 10:28:35,"Yes, I consent to participate.",27,Male,Bole,Completed Degree,Full time,Yes,No,,,Mobile data,None of the above,1,"Poor internet access, Location ",Digital skills,"To gain new skills, To improve career prospects","Live sessions with Q&A, Pre-recorded videos, Podcasts or audio materials",Evening (4 PM–8 PM),Bi-weekly,4,Business and finance related and updates ,4,Good,4 kilo
1/23/2025 10:35:13,"Yes, I consent to participate.",23,Female,Addis Ketema,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,None of the above,2,Lack of time,Entrepreneurship and business management,"To gain new skills, To improve career prospects, Certification upon completion",Pre-recorded videos,Evening (4 PM–8 PM),Weekly,2,Nursing and business management ,4,Good,4 kilo
1/23/2025 10:36:50,"Yes, I consent to participate.",30,Male,Nifas Silk Lafto,Secondary Education (Grades 9–12),Unemployed,Yes,No,,,"Mobile data, Home Wi-Fi",Telegram,1,Lack of time,Sports ,Networking opportunities,Live sessions with Q&A,Evening (4 PM–8 PM),Daily,1,Sport ,4,good,4 kilo
1/23/2025 10:38:26,"Yes, I consent to participate.",25,Male,Yeka,Vocational/Technical Education,Full time,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, WhatsApp, YouTube",1,"Lack of awareness, Topics not aligning with personal/career interests","Digital skills, Personal development","To gain new skills, Personal interest, Certification upon completion","Reading materials (e.g., PDFs, guides), Virtual workshops or webinars",Evening (4 PM–8 PM),Weekly,1,Drop shiping,3,Good,4 kilo
1/23/2025 10:41:32,"Yes, I consent to participate.",30,Male,Lemi Kura,Completed Degree,Full time,Yes,No,,,"Mobile data, Home Wi-Fi",Zoom,1,Lack of time,Entrepreneurship and business management,"To gain new skills, To improve career prospects","Pre-recorded videos, Reading materials (e.g., PDFs, guides), Discussion forums or group chats, Podcasts or audio materials, In-person training sessions (if applicable)",Evening (4 PM–8 PM),Daily,2,"Software development, ",4,Good,4 kilo
1/23/2025 10:47:05,"Yes, I consent to participate.",28,Female,Bole,Completed Degree,Full time,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, WhatsApp, YouTube",1,"Lack of awareness, Lack of time",Digital skills,"To gain new skills, Personal interest","Pre-recorded videos, Reading materials (e.g., PDFs, guides)",Evening (4 PM–8 PM),Weekly,1,Make money ,3,Good,4 kilo
1/23/2025 10:56:59,"Yes, I consent to participate.",31,Male,Arada,Vocational/Technical Education,Full time,Yes,No,,,Mobile data,Telegram,3,Lack of time,Entrepreneurship and business management,Networking opportunities,"Reading materials (e.g., PDFs, guides), Podcasts or audio materials",Evening (4 PM–8 PM),Bi-weekly,2,Financial freedom ,3,Good,4 kilo
1/23/2025 10:57:57,"Yes, I consent to participate.",27,Female,Arada,Tertiary Education (Undergraduate),Full time,Yes,Yes,"Social media (e.g., Facebook, Instagram)",Flexible scheduling,"Mobile data, Home Wi-Fi","LinkedIn, Telegram, YouTube",3,Topics not aligning with personal/career interests,"Digital skills, Entrepreneurship and business management","To gain new skills, To improve career prospects","Podcasts or audio materials, Virtual workshops or webinars",Evening (4 PM–8 PM),Bi-weekly,3,Business and tech related ,5,Good,4 kilo
1/23/2025 11:00:46,"Yes, I consent to participate.",20,Female,Arada,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi, Public Wi-Fi",Telegram,1,Lack of time,Digital skills,To gain new skills,Blended (combination of online and in-person),Evening (4 PM–8 PM),Weekly,1,technology ,4,Good,4 kilo
1/23/2025 11:01:19,"Yes, I consent to participate.",18,Female,Gullele,Secondary Education (Grades 9–12),Student,Yes,No,,,Mobile data,None of the above,5,Lack of time,Career development,Personal interest,Podcasts or audio materials,Afternoon (12 PM–4 PM),Weekly,5,Leadership ,3,Good,4 kilo
1/23/2025 11:09:08,"Yes, I consent to participate.",16,Female,Arada,Secondary Education (Grades 9–12),Student,Yes,No,,,Mobile data,Telegram,3,Lack of time,Entrepreneurship and business management,Networking opportunities,Live sessions with Q&A,Evening (4 PM–8 PM),Bi-weekly,3,Business ,4,nice ,4 kilo
1/23/2025 11:13:04,"Yes, I consent to participate.",16,Female,Arada,Secondary Education (Grades 9–12),Student,No,No,,,Home Wi-Fi,YouTube,3,Lack of time,Entrepreneurship and business management,"To gain new skills, Certification upon completion",Blended (combination of online and in-person),Evening (4 PM–8 PM),Bi-weekly,3,Business ,4,nice ,4 kilo
1/23/2025 11:14:07,"Yes, I consent to participate.",27,Female,Yeka,Completed Degree,Full time,Yes,No,,,Home Wi-Fi,None of the above,2,Lack of awareness,Entrepreneurship and business management,"To gain new skills, To improve career prospects, Certification upon completion",Live sessions with Q&A,Evening (4 PM–8 PM),Daily,2,Business related ,5,Good,4 kilo
1/23/2025 11:24:01,"Yes, I consent to participate.",18,Female,Yeka,Secondary Education (Grades 9–12),Student,Yes,No,,,Home Wi-Fi,None of the above,2,Topics not aligning with personal/career interests,Entrepreneurship and business management,To gain new skills,"Reading materials (e.g., PDFs, guides), Discussion forums or group chats",Afternoon (12 PM–4 PM),Weekly,3,Law,5,Good,4 kilo
1/23/2025 11:28:57,"Yes, I consent to participate.",18,Female,Kolfe Keranio,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,Telegram,1,Lack of time,Entrepreneurship and business management,"To gain new skills, Certification upon completion","Live sessions with Q&A, Blended (combination of online and in-person)",Evening (4 PM–8 PM),Bi-weekly,1,Business ,4,Keep it up,4 kilo
1/23/2025 11:30:04,"Yes, I consent to participate.",25,Male,Arada,Completed Degree,Part time,Yes,No,,,Mobile data,YouTube,1,Poor internet access,Digital skills,To gain new skills,Live sessions with Q&A,Morning (8 AM–12 PM),Daily,1,Personal development,3,Good,4 kilo
1/23/2025 11:30:31,"Yes, I consent to participate.",18,Female,Addis Ketema,Secondary Education (Grades 9–12),Student,Yes,No,,,Home Wi-Fi,YouTube,3,Lack of time,"Digital skills, Personal development","To gain new skills, Networking opportunities, Certification upon completion","Pre-recorded videos, Podcasts or audio materials, In-person training sessions (if applicable)",Evening (4 PM–8 PM),Bi-weekly,1,Digital marketing ,5,Very good ,4 kilo
1/23/2025 11:36:56,"Yes, I consent to participate.",21,Female,Yeka,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi",None of the above,3,Lack of time,"Career development, Entrepreneurship and business management","To gain new skills, Personal interest",Self-paced online modules,Evening (4 PM–8 PM),Monthly,3,Career development ,5,None... Keep up the good work.,4 kilo
1/23/2025 11:37:03,"Yes, I consent to participate.",25,Female,Kirkos,Completed Degree,Full time,Yes,No,,,Home Wi-Fi,WhatsApp,3,Lack of time,Career development,To gain new skills,"Live sessions with Q&A, Pre-recorded videos, Self-paced online modules",Morning (8 AM–12 PM),Bi-weekly,2,Digital ,4,Very good,4 kilo
1/23/2025 11:52:27,"Yes, I consent to participate.",18,Female,Bole,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, YouTube",3,"Lack of awareness, Lack of time, Topics not aligning with personal/career interests","Career development, Entrepreneurship and business management","To improve career prospects, Networking opportunities, Certification upon completion","Reading materials (e.g., PDFs, guides), Discussion forums or group chats, Podcasts or audio materials, Self-paced online modules",Evening (4 PM–8 PM),Weekly,1,Related to business ,5,Adding more questions about compatibility of time and a person's personal work,4 kilo
1/23/2025 11:59:21,"Yes, I consent to participate.",29,Male,Yeka,Completed Degree,Full time,Yes,No,,,Mobile data,None of the above,4,Topics not aligning with personal/career interests,Entrepreneurship and business management,"To gain new skills, To improve career prospects, Certification upon completion","Reading materials (e.g., PDFs, guides)",Morning (8 AM–12 PM),Bi-weekly,2,Business and enterpreneurship ,4,Its perfect ,4 kilo
1/23/2025 12:03:33,"Yes, I consent to participate.",44,Male,Lemi Kura,"Postgraduate Education (Master’s, Doctoral Level)",Full time,Yes,No,,,Home Wi-Fi,None of the above,3,Lack of time,Digital skills,Networking opportunities,Virtual workshops or webinars,Evening (4 PM–8 PM),Monthly,3,"Digital 
",2,Please be specific to the respondents it is general.,4 kilo
1/23/2025 12:54:51,"Yes, I consent to participate.",22,Female,Kirkos,Tertiary Education (Undergraduate),Full time,Yes,No,,,"Mobile data, Home Wi-Fi",YouTube,1,"Lack of awareness, Topics not aligning with personal/career interests","Career development, Digital skills, Entrepreneurship and business management, Personal development","To gain new skills, To improve career prospects, Certification upon completion","Live sessions with Q&A, Pre-recorded videos, Reading materials (e.g., PDFs, guides), Interactive quizzes or activities",Evening (4 PM–8 PM),Daily,1,Everything,4,Please Start The Training Soon,4 kilo
1/23/2025 13:02:19,"Yes, I consent to participate.",31,Female,Arada,"Postgraduate Education (Master’s, Doctoral Level)",Full time,Yes,Yes,Friends/Peers,Interactive sessions,Mobile data,Telegram,1,"Lack of awareness, Poor internet access, Topics not aligning with personal/career interests","Career development, Digital skills, Personal development","To gain new skills, To improve career prospects",Live sessions with Q&A,Evening (4 PM–8 PM),Weekly,1,acadsmical Related,5,Nothing,4 kilo
1/23/2025 13:36:41,"Yes, I consent to participate.",27,Female,Kolfe Keranio,Completed Degree,Full time,Yes,No,,,Home Wi-Fi,YouTube,1,Lack of time,Personal development,To gain new skills,"Reading materials (e.g., PDFs, guides)",Evening (4 PM–8 PM),Daily,1,Medical,5,Good,4 kilo
1/23/2025 13:49:02,"Yes, I consent to participate.",34,Female,Arada,Completed Degree,Full time,Yes,No,,,Home Wi-Fi,Telegram,1,Lack of awareness,Entrepreneurship and business management,To gain new skills,Live sessions with Q&A,Evening (4 PM–8 PM),Daily,3,Business ,4,good,4 kilo
1/23/2025 14:01:22,"Yes, I consent to participate.",30,Male,Kirkos,Tertiary Education (Undergraduate),Part time,Yes,No,,,Home Wi-Fi,None of the above,1,Lack of time,Entrepreneurship and business management,To gain new skills,Pre-recorded videos,Evening (4 PM–8 PM),Daily,1,Networking and personal development,5,Good ,4 kilo
1/23/2025 14:09:10,"Yes, I consent to participate.",18,Male,Yeka,Secondary Education (Grades 9–12),Student,Yes,No,,,Home Wi-Fi,YouTube,1,Lack of time,Career development,To gain new skills,In-person training sessions (if applicable),Afternoon (12 PM–4 PM),Weekly,1,Nothing ,1,Nothing,4 kilo
1/23/2025 14:16:58,"Yes, I consent to participate.",19,Female,Addis Ketema,Tertiary Education (Undergraduate),Student,Yes,No,,,Mobile data,"Telegram, YouTube",1,Topics not aligning with personal/career interests,Entrepreneurship and business management,Networking opportunities,Live sessions with Q&A,Evening (4 PM–8 PM),Weekly,1,Anything related to tech,5,That's great keep it up,4 kilo
1/23/2025 14:17:13,"Yes, I consent to participate.",22,Female,Arada,Secondary Education (Grades 9–12),Student,Yes,No,,,Mobile data,YouTube,2,Lack of awareness,Entrepreneurship and business management,Personal interest,Pre-recorded videos,Evening (4 PM–8 PM),Daily,1,Business ,5,Good ,4 kilo
1/23/2025 14:27:09,"Yes, I consent to participate.",21,Female,Kirkos,Completed Degree,Part time,Yes,No,,,Mobile data,YouTube,1,Lack of awareness,Personal development,Personal interest,Live sessions with Q&A,Evening (4 PM–8 PM),Daily,1,Persenal development,3,Good,4 kilo
1/23/2025 14:33:33,"Yes, I consent to participate.",32,Male,Bole,Completed Degree,Full time,No,No,,,Home Wi-Fi,YouTube,3,Lack of awareness,"Entrepreneurship and business management, Personal development","To gain new skills, Networking opportunities","Live sessions with Q&A, Reading materials (e.g., PDFs, guides), Discussion forums or group chats",Evening (4 PM–8 PM),Weekly,1,Programming ,5,It is good keep it up,4 kilo
1/23/2025 14:38:35,"Yes, I consent to participate.",18,Male,Akaki Kaliti,Secondary Education (Grades 9–12),Student,Yes,No,,,Home Wi-Fi,"Telegram, YouTube",1,"Poor internet access, Lack of time",Digital skills,"To gain new skills, Certification upon completion","Podcasts or audio materials, Self-paced online modules",Evening (4 PM–8 PM),Weekly,1,Software,5,Improve,4 kilo
1/23/2025 14:42:11,"Yes, I consent to participate.",16,Female,Akaki Kaliti,Secondary Education (Grades 9–12),Student,Yes,No,,,Home Wi-Fi,"Telegram, WhatsApp",2,Lack of awareness,Digital skills,"To gain new skills, Personal interest, Certification upon completion","Pre-recorded videos, Reading materials (e.g., PDFs, guides)",Evening (4 PM–8 PM),Bi-weekly,2,Programing,4,It's nice,4 kilo
1/23/2025 14:42:12,"Yes, I consent to participate.",35,Male,Yeka,Vocational/Technical Education,Full time,Yes,No,,,Mobile data,Telegram,1,Lack of awareness,"Career development, Digital skills, Entrepreneurship and business management, Personal development",To gain new skills,Blended (combination of online and in-person),Evening (4 PM–8 PM),Weekly,3,Business ,4,good ,4 kilo
1/23/2025 14:47:41,"Yes, I consent to participate.",23,Female,Arada,Secondary Education (Grades 9–12),Full time,Yes,No,,,"Mobile data, Home Wi-Fi",Telegram,5,Topics not aligning with personal/career interests,Digital skills,To gain new skills,"Reading materials (e.g., PDFs, guides)",Evening (4 PM–8 PM),Weekly,2,Bisines,3,Good,4 kilo
1/23/2025 14:48:12,"Yes, I consent to participate.",18,Female,Gullele,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi",YouTube,3,"Lack of time, ",Entrepreneurship and business management,To gain new skills,"Reading materials (e.g., PDFs, guides), Podcasts or audio materials",Morning (8 AM–12 PM),Weekly,4,How it works in real life ,5,Nothing it is good,4 kilo
1/23/2025 14:52:36,"Yes, I consent to participate.",18,Male,Yeka,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,YouTube,2,Not suggested ,Entrepreneurship and business management,"To gain new skills, To improve career prospects, Certification upon completion","Pre-recorded videos, Reading materials (e.g., PDFs, guides)",Evening (4 PM–8 PM),Bi-weekly,2,Computer science ,5,Good ,4 kilo
1/23/2025 14:59:45,"Yes, I consent to participate.",29,Male,Ledeta,Completed Degree,Full time,Yes,No,,,Mobile data,"LinkedIn, Telegram, YouTube, Facebook, Twitter/X, TikTok",3,Lack of awareness,"Career development, Entrepreneurship and business management","To gain new skills, To improve career prospects","Pre-recorded videos, Reading materials (e.g., PDFs, guides), Podcasts or audio materials",Evening (4 PM–8 PM),Weekly,4,Enterpreneurship,4,Good,4 kilo
1/23/2025 15:01:10,"Yes, I consent to participate.",26,Female,Arada,Completed Degree,Part time,Yes,No,,,Home Wi-Fi,None of the above,2,Lack of time,Digital skills,To gain new skills,Pre-recorded videos,Evening (4 PM–8 PM),Weekly,2,New skills ,5,Keep it up,4 kilo
1/23/2025 15:02:48,"Yes, I consent to participate.",27,Female,Kolfe Keranio,Completed Degree,Full time,Yes,No,,,Mobile data,"Telegram, WhatsApp, YouTube, Facebook, TikTok",3,Lack of time,Entrepreneurship and business management,"To gain new skills, To improve career prospects, Personal interest, Networking opportunities, Certification upon completion","Reading materials (e.g., PDFs, guides), Discussion forums or group chats, Self-paced online modules, In-person training sessions (if applicable), Blended (combination of online and in-person)",Evening (4 PM–8 PM),Monthly,3,Internet skills knowledge ,5,Very good ,4 kilo
1/23/2025 15:06:49,"Yes, I consent to participate.",16,Female,Yeka,Secondary Education (Grades 9–12),Student,Yes,No,,,Mobile data,YouTube,1,"Lack of awareness, Poor internet access",Entrepreneurship and business management,"To gain new skills, Certification upon completion","Live sessions with Q&A, In-person training sessions (if applicable)",Evening (4 PM–8 PM),Weekly,1,Cinimatography,3,Its good,4 kilo
1/23/2025 15:09:28,"Yes, I consent to participate.",26,Male,Gullele,"Postgraduate Education (Master’s, Doctoral Level)",Full time,Yes,No,,,Mobile data,"LinkedIn, Telegram, WhatsApp, YouTube, Facebook, Twitter/X, TikTok",3,Lack of time,Career development,"To gain new skills, To improve career prospects, Personal interest, Networking opportunities, Certification upon completion","Reading materials (e.g., PDFs, guides)",Evening (4 PM–8 PM),Weekly,3,Career development ,2,Thank you,4 kilo
1/23/2025 15:12:43,"Yes, I consent to participate.",21,Male,Lemi Kura,Tertiary Education (Undergraduate),Student,Yes,No,,,Mobile data,"Telegram, WhatsApp, YouTube, Twitter/X, TikTok",5,Lack of time,Digital skills,"To gain new skills, To improve career prospects","Pre-recorded videos, Reading materials (e.g., PDFs, guides), Interactive quizzes or activities, Virtual workshops or webinars",Evening (4 PM–8 PM),Daily,5,Website development ,5,clarify more about the company ,4 kilo
1/23/2025 15:15:41,"Yes, I consent to participate.",27,Female,Nifas Silk Lafto,Completed Degree,Unemployed,Yes,No,,,Home Wi-Fi,YouTube,2,"Lack of awareness, Poor internet access","Career development, Digital skills, Personal development","To gain new skills, Personal interest","Live sessions with Q&A, Pre-recorded videos, Interactive quizzes or activities, Discussion forums or group chats, Podcasts or audio materials, Self-paced online modules, Virtual workshops or webinars, In-person training sessions (if applicable)",Evening (4 PM–8 PM),Daily,1,Digital skill,4,Good,4 kilo
1/23/2025 15:18:51,"Yes, I consent to participate.",23,Male,Arada,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi, Public Wi-Fi","LinkedIn, YouTube",2,Lack of awareness,Digital skills,To gain new skills,"Pre-recorded videos, Reading materials (e.g., PDFs, guides)",Evening (4 PM–8 PM),Weekly,1,Phyton,5,It's good ,4 kilo
1/23/2025 15:24:31,"Yes, I consent to participate.",36,Male,Nifas Silk Lafto,Completed Degree,Full time,Yes,No,,,Mobile data,"Telegram, WhatsApp, YouTube",1,Lack of time,"Career development, Digital skills, Entrepreneurship and business management, Personal development","To gain new skills, To improve career prospects","Reading materials (e.g., PDFs, guides), Discussion forums or group chats, Self-paced online modules",Evening (4 PM–8 PM),Weekly,1,Personal skill,5,No,4 kilo
1/23/2025 15:27:05,"Yes, I consent to participate.",24,Male,Yeka,"Postgraduate Education (Master’s, Doctoral Level)",Full time,No,No,,,Home Wi-Fi,LinkedIn,3,Lack of time,Entrepreneurship and business management,Networking opportunities,Live sessions with Q&A,Evening (4 PM–8 PM),Weekly,1,Health related ,5,Good,4 kilo
1/23/2025 15:28:30,"Yes, I consent to participate.",26,Male,Bole,"Postgraduate Education (Master’s, Doctoral Level)",Full time,Yes,No,,,"Mobile data, Home Wi-Fi, Public Wi-Fi","LinkedIn, Telegram, WhatsApp, YouTube, Facebook, Twitter/X, TikTok",1,Lack of time,"Career development, Digital skills, Entrepreneurship and business management, Personal development","To gain new skills, To improve career prospects, Personal interest, Networking opportunities, Certification upon completion","Live sessions with Q&A, Pre-recorded videos, Reading materials (e.g., PDFs, guides), Interactive quizzes or activities, Discussion forums or group chats, Podcasts or audio materials, Self-paced online modules, Virtual workshops or webinars, In-person training sessions (if applicable), Blended (combination of online and in-person)",Evening (4 PM–8 PM),Daily,1,entrepreneurship ,5,Over all it is nice,4 kilo
1/23/2025 15:36:45,"Yes, I consent to participate.",31,Female,Addis Ketema,Completed Degree,Full time,Yes,No,,,Mobile data,YouTube,1,Lack of time,Entrepreneurship and business management,Certification upon completion,Pre-recorded videos,Morning (8 AM–12 PM),Weekly,3,Medical topic,3,Good ,4 kilo
1/23/2025 15:41:14,"Yes, I consent to participate.",35,Male,Kirkos,Completed Degree,Full time,Yes,No,,,Home Wi-Fi,Telegram,1,Topics not aligning with personal/career interests,Entrepreneurship and business management,Networking opportunities,Blended (combination of online and in-person),Evening (4 PM–8 PM),Bi-weekly,1,BUSINESS ,4,Make it serious ,4 kilo
1/23/2025 15:42:29,"Yes, I consent to participate.",17,Male,Yeka,Secondary Education (Grades 9–12),Student,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, TikTok",1,Lack of time,Career development,To gain new skills,Live sessions with Q&A,Evening (4 PM–8 PM),Daily,1,About forex,5,It is good ,4 kilo
1/23/2025 15:48:52,"Yes, I consent to participate.",22,Female,Yeka,Secondary Education (Grades 9–12),Full time,Yes,No,,,"Mobile data, Home Wi-Fi, Public Wi-Fi","Telegram, TikTok",1,Lack of time,Entrepreneurship and business management,"To gain new skills, Networking opportunities",Blended (combination of online and in-person),Evening (4 PM–8 PM),Monthly,1,Business ,4,nice ,4 kilo
1/23/2025 15:49:03,"Yes, I consent to participate.",27,Female,Yeka,Secondary Education (Grades 9–12),Full time,No,No,,,"Mobile data, Home Wi-Fi",YouTube,2,In person,Personal development,To gain new skills,Pre-recorded videos,Afternoon (12 PM–4 PM),Bi-weekly,3,Personality growth,4,If applicable good,4 kilo
1/23/2025 15:51:04,"Yes, I consent to participate.",29,Male,Arada,"Postgraduate Education (Master’s, Doctoral Level)",Full time,Yes,No,,,"Mobile data, Home Wi-Fi, Public Wi-Fi","LinkedIn, YouTube",1,Topics not aligning with personal/career interests,Entrepreneurship and business management,To gain new skills,Virtual workshops or webinars,Afternoon (12 PM–4 PM),Weekly,1,Cyber security ,5,Its good,4 kilo
1/23/2025 15:58:41,"Yes, I consent to participate.",40,Male,Kirkos,Secondary Education (Grades 9–12),Full time,Yes,No,,,Home Wi-Fi,Telegram,1,Lack of awareness,Entrepreneurship and business management,To gain new skills,Pre-recorded videos,Morning (8 AM–12 PM),Daily,1,Business ,5,Good ,4 kilo
1/23/2025 15:58:45,"Yes, I consent to participate.",38,Male,Yeka,Vocational/Technical Education,Full time,Yes,No,,,Home Wi-Fi,"Telegram, YouTube",2,Lack of awareness,Entrepreneurship and business management,To gain new skills,Blended (combination of online and in-person),Afternoon (12 PM–4 PM),Bi-weekly,1,business ,4,Good,4 kilo
1/24/2025 8:02:44,"Yes, I consent to participate.",16,Male,Bole,Secondary Education (Grades 9–12),Student,No,No,,,Home Wi-Fi,Instagram ,3,Lack of time,Personal development,Certification upon completion,Pre-recorded videos,Evening (4 PM–8 PM),Weekly,3,Personal development ,5,Good,4 kilo
1/24/2025 8:09:15,"Yes, I consent to participate.",17,Female,Addis Ketema,Secondary Education (Grades 9–12),Student,Yes,No,,,Home Wi-Fi,YouTube,2,Topics not aligning with personal/career interests,Entrepreneurship and business management,To gain new skills,"Pre-recorded videos, Discussion forums or group chats",Evening (4 PM–8 PM),Weekly,1,Enterpreneurship ,1,Nothing,4 kilo
1/24/2025 8:16:31,"Yes, I consent to participate.",16,Female,Kirkos,Secondary Education (Grades 9–12),Student,Yes,No,,,Mobile data,Telegram,3,Topics not aligning with personal/career interests,Digital skills,To gain new skills,"Pre-recorded videos, Reading materials (e.g., PDFs, guides), Interactive quizzes or activities",Evening (4 PM–8 PM),Weekly,4,Programming,4,It is a great job to involve people in actovities.,4 kilo
